[JOINT]-[J1]-[2]     [BEAMCOLUMN]-[E3]-[1]-[2]
0.000164032     -48.987
0.000180435     -53.8857
0.000196838     -58.7844
0.000213241     -63.6831
0.000229645     -68.5818
0.000246048     -73.4805
0.000262451     -78.3792
0.000278854     -83.278
0.000295257     -88.1767
0.000311661     -93.0754
0.000328064     -97.9741
0.000344467     -102.873
0.00036087     -107.771
0.000377273     -112.67
0.000393677     -117.569
0.00041008     -122.468
0.000393677     -117.569
0.000377273     -112.67
0.00036087     -107.771
0.000344467     -102.873
0.000328064     -97.9741
0.000311661     -93.0754
0.000295257     -88.1767
0.000278854     -83.278
0.000262451     -78.3792
0.000246048     -73.4805
0.000229645     -68.5818
0.000213241     -63.6831
0.000196838     -58.7844
0.000180435     -53.8857
0.000164032     -48.987
0.000147629     -44.0883
0.000131226     -39.1896
0.000114822     -34.2909
9.84191e-05     -29.3922
8.20159e-05     -24.4935
6.56128e-05     -19.5948
4.92096e-05     -14.6961
3.28064e-05     -9.79741
1.64032e-05     -4.8987
-5.69206e-19     1.51246e-14
-1.64032e-05     4.8987
-3.28064e-05     9.79741
-4.92096e-05     14.6961
-6.56128e-05     19.5948
-8.20159e-05     24.4935
-9.84191e-05     29.3922
-0.000114822     34.2909
-0.000131226     39.1896
-0.000147629     44.0883
-0.000164032     48.987
-0.000180435     53.8857
-0.000196838     58.7844
-0.000213241     63.6831
-0.000229645     68.5818
-0.000246048     73.4805
-0.000262451     78.3792
-0.000278854     83.278
-0.000295257     88.1767
-0.000311661     93.0754
-0.000328064     97.9741
-0.000344467     102.873
-0.00036087     107.771
-0.000377273     112.67
-0.000393677     117.569
-0.00041008     122.468
-0.000393677     117.569
-0.000377273     112.67
-0.00036087     107.771
-0.000344467     102.873
-0.000328064     97.9741
-0.000311661     93.0754
-0.000295257     88.1767
-0.000278854     83.278
-0.000262451     78.3792
-0.000246048     73.4805
-0.000229645     68.5818
-0.000213241     63.6831
-0.000196838     58.7844
-0.000180435     53.8857
-0.000164032     48.987
-0.000147629     44.0883
-0.000131226     39.1896
-0.000114822     34.2909
-9.84191e-05     29.3922
-8.20159e-05     24.4935
-6.56128e-05     19.5948
-4.92096e-05     14.6961
-3.28064e-05     9.79741
-1.64032e-05     4.8987
-5.69206e-19     -1.25225e-14
1.64032e-05     -4.8987
3.28064e-05     -9.79741
4.92096e-05     -14.6961
6.56128e-05     -19.5948
8.20159e-05     -24.4935
9.84191e-05     -29.3922
0.000114822     -34.2909
0.000131226     -39.1896
0.000147629     -44.0883
0.000164032     -48.987
0.000180435     -53.8857
0.000196838     -58.7844
0.000213241     -63.6831
0.000229645     -68.5818
0.000246048     -73.4805
0.000262451     -78.3792
0.000278854     -83.278
0.000295257     -88.1767
0.000311661     -93.0754
0.000328064     -97.9741
0.000344467     -102.873
0.00036087     -107.771
0.000377273     -112.67
0.000393677     -117.569
0.00041008     -122.468
0.000393677     -117.569
0.000377273     -112.67
0.00036087     -107.771
0.000344467     -102.873
0.000328064     -97.9741
0.000311661     -93.0754
0.000295257     -88.1767
0.000278854     -83.278
0.000262451     -78.3792
0.000246048     -73.4805
0.000229645     -68.5818
0.000213241     -63.6831
0.000196838     -58.7844
0.000180435     -53.8857
0.000164032     -48.987
0.000147629     -44.0883
0.000131226     -39.1896
0.000114822     -34.2909
9.84191e-05     -29.3922
8.20159e-05     -24.4935
6.56128e-05     -19.5948
4.92096e-05     -14.6961
3.28064e-05     -9.79741
1.64032e-05     -4.8987
-5.69206e-19     1.51246e-14
-1.64032e-05     4.8987
-3.28064e-05     9.79741
-4.92096e-05     14.6961
-6.56128e-05     19.5948
-8.20159e-05     24.4935
-9.84191e-05     29.3922
-0.000114822     34.2909
-0.000131226     39.1896
-0.000147629     44.0883
-0.000164032     48.987
-0.000180435     53.8857
-0.000196838     58.7844
-0.000213241     63.6831
-0.000229645     68.5818
-0.000246048     73.4805
-0.000262451     78.3792
-0.000278854     83.278
-0.000295257     88.1767
-0.000311661     93.0754
-0.000328064     97.9741
-0.000344467     102.873
-0.00036087     107.771
-0.000377273     112.67
-0.000393677     117.569
-0.00041008     122.468
-0.000393677     117.569
-0.000377273     112.67
-0.00036087     107.771
-0.000344467     102.873
-0.000328064     97.9741
-0.000311661     93.0754
-0.000295257     88.1767
-0.000278854     83.278
-0.000262451     78.3792
-0.000246048     73.4805
-0.000229645     68.5818
-0.000213241     63.6831
-0.000196838     58.7844
-0.000180435     53.8857
-0.000164032     48.987
-0.000147629     44.0883
-0.000131226     39.1896
-0.000114822     34.2909
-9.84191e-05     29.3922
-8.20159e-05     24.4935
-6.56128e-05     19.5948
-4.92096e-05     14.6961
-3.28064e-05     9.79741
-1.64032e-05     4.8987
-5.69206e-19     -1.25225e-14
1.64032e-05     -4.8987
3.28064e-05     -9.79741
4.92096e-05     -14.6961
6.56128e-05     -19.5948
8.20159e-05     -24.4935
9.84191e-05     -29.3922
0.000114822     -34.2909
0.000131226     -39.1896
0.000147629     -44.0883
0.000164032     -48.987
0.000180435     -53.8857
0.000196838     -58.7844
0.000213241     -63.6831
0.000229645     -68.5818
0.000246048     -73.4805
0.000262451     -78.3792
0.000278854     -83.278
0.000295257     -88.1767
0.000311661     -93.0754
0.000328064     -97.9741
0.000344467     -102.873
0.00036087     -107.771
0.000377273     -112.67
0.000393677     -117.569
0.00041008     -122.468
0.000393677     -117.569
0.000377273     -112.67
0.00036087     -107.771
0.000344467     -102.873
0.000328064     -97.9741
0.000311661     -93.0754
0.000295257     -88.1767
0.000278854     -83.278
0.000262451     -78.3792
0.000246048     -73.4805
0.000229645     -68.5818
0.000213241     -63.6831
0.000196838     -58.7844
0.000180435     -53.8857
0.000164032     -48.987
0.000147629     -44.0883
0.000131226     -39.1896
0.000114822     -34.2909
9.84191e-05     -29.3922
8.20159e-05     -24.4935
6.56128e-05     -19.5948
4.92096e-05     -14.6961
3.28064e-05     -9.79741
1.64032e-05     -4.8987
-5.69206e-19     1.51246e-14
-1.64032e-05     4.8987
-3.28064e-05     9.79741
-4.92096e-05     14.6961
-6.56128e-05     19.5948
-8.20159e-05     24.4935
-9.84191e-05     29.3922
-0.000114822     34.2909
-0.000131226     39.1896
-0.000147629     44.0883
-0.000164032     48.987
-0.000180435     53.8857
-0.000196838     58.7844
-0.000213241     63.6831
-0.000229645     68.5818
-0.000246048     73.4805
-0.000262451     78.3792
-0.000278854     83.278
-0.000295257     88.1767
-0.000311661     93.0754
-0.000328064     97.9741
-0.000344467     102.873
-0.00036087     107.771
-0.000377273     112.67
-0.000393677     117.569
-0.00041008     122.468
-0.000393677     117.569
-0.000377273     112.67
-0.00036087     107.771
-0.000344467     102.873
-0.000328064     97.9741
-0.000311661     93.0754
-0.000295257     88.1767
-0.000278854     83.278
-0.000262451     78.3792
-0.000246048     73.4805
-0.000229645     68.5818
-0.000213241     63.6831
-0.000196838     58.7844
-0.000180435     53.8857
-0.000164032     48.987
-0.000147629     44.0883
-0.000131226     39.1896
-0.000114822     34.2909
-9.84191e-05     29.3922
-8.20159e-05     24.4935
-6.56128e-05     19.5948
-4.92096e-05     14.6961
-3.28064e-05     9.79741
-1.64032e-05     4.8987
-5.69206e-19     -1.25225e-14
1.64032e-05     -4.8987
3.28064e-05     -9.79741
4.92096e-05     -14.6961
6.56128e-05     -19.5948
8.20159e-05     -24.4935
9.84191e-05     -29.3922
0.000114822     -34.2909
0.000131226     -39.1896
0.000147629     -44.0883
0.000164032     -48.987
0.000180435     -53.8857
0.000196838     -58.7844
0.000213241     -63.6831
0.000229645     -68.5818
0.000246048     -73.4805
0.000262451     -78.3792
0.000278854     -83.278
0.000295257     -88.1767
0.000311661     -93.0754
0.000328064     -97.9741
0.000344467     -102.873
0.00036087     -107.771
0.000377273     -112.67
0.000393677     -117.569
0.00041008     -122.468
0.000393677     -117.569
0.000377273     -112.67
0.00036087     -107.771
0.000344467     -102.873
0.000328064     -97.9741
0.000311661     -93.0754
0.000295257     -88.1767
0.000278854     -83.278
0.000262451     -78.3792
0.000246048     -73.4805
0.000229645     -68.5818
0.000213241     -63.6831
0.000196838     -58.7844
0.000180435     -53.8857
0.000164032     -48.987
0.000147629     -44.0883
0.000131226     -39.1896
0.000114822     -34.2909
9.84191e-05     -29.3922
8.20159e-05     -24.4935
6.56128e-05     -19.5948
4.92096e-05     -14.6961
3.28064e-05     -9.79741
1.64032e-05     -4.8987
-5.69206e-19     1.51246e-14
-1.64032e-05     4.8987
-3.28064e-05     9.79741
-4.92096e-05     14.6961
-6.56128e-05     19.5948
-8.20159e-05     24.4935
-9.84191e-05     29.3922
-0.000114822     34.2909
-0.000131226     39.1896
-0.000147629     44.0883
-0.000164032     48.987
-0.000180435     53.8857
-0.000196838     58.7844
-0.000213241     63.6831
-0.000229645     68.5818
-0.000246048     73.4805
-0.000262451     78.3792
-0.000278854     83.278
-0.000295257     88.1767
-0.000311661     93.0754
-0.000328064     97.9741
-0.000344467     102.873
-0.00036087     107.771
-0.000377273     112.67
-0.000393677     117.569
-0.00041008     122.468
-0.000393677     117.569
-0.000377273     112.67
-0.00036087     107.771
-0.000344467     102.873
-0.000328064     97.9741
-0.000311661     93.0754
-0.000295257     88.1767
-0.000278854     83.278
-0.000262451     78.3792
-0.000246048     73.4805
-0.000229645     68.5818
-0.000213241     63.6831
-0.000196838     58.7844
-0.000180435     53.8857
-0.000164032     48.987
-0.000147629     44.0883
-0.000131226     39.1896
-0.000114822     34.2909
-9.84191e-05     29.3922
-8.20159e-05     24.4935
-6.56128e-05     19.5948
-4.92096e-05     14.6961
-3.28064e-05     9.79741
-1.64032e-05     4.8987
-5.69206e-19     -1.25225e-14
1.64032e-05     -4.8987
3.28064e-05     -9.79741
4.92096e-05     -14.6961
6.56128e-05     -19.5948
8.20159e-05     -24.4935
9.84191e-05     -29.3922
0.000114822     -34.2909
0.000131226     -39.1896
0.000147629     -44.0883
0.000164032     -48.987
0.000180435     -53.8857
0.000196838     -58.7844
0.000213241     -63.6831
0.000229645     -68.5818
0.000246048     -73.4805
0.000262451     -78.3792
0.000278854     -83.278
0.000295257     -88.1767
0.000311661     -93.0754
0.000328064     -97.9741
0.000344467     -102.873
0.00036087     -107.771
0.000377273     -112.67
0.000393677     -117.569
0.00041008     -122.468
0.000393677     -117.569
0.000377273     -112.67
0.00036087     -107.771
0.000344467     -102.873
0.000328064     -97.9741
0.000311661     -93.0754
0.000295257     -88.1767
0.000278854     -83.278
0.000262451     -78.3792
0.000246048     -73.4805
0.000229645     -68.5818
0.000213241     -63.6831
0.000196838     -58.7844
0.000180435     -53.8857
0.000164032     -48.987
0.000147629     -44.0883
0.000131226     -39.1896
0.000114822     -34.2909
9.84191e-05     -29.3922
8.20159e-05     -24.4935
6.56128e-05     -19.5948
4.92096e-05     -14.6961
3.28064e-05     -9.79741
1.64032e-05     -4.8987
-5.69206e-19     1.51246e-14
-1.64032e-05     4.8987
-3.28064e-05     9.79741
-4.92096e-05     14.6961
-6.56128e-05     19.5948
-8.20159e-05     24.4935
-9.84191e-05     29.3922
-0.000114822     34.2909
-0.000131226     39.1896
-0.000147629     44.0883
-0.000164032     48.987
-0.000180435     53.8857
-0.000196838     58.7844
-0.000213241     63.6831
-0.000229645     68.5818
-0.000246048     73.4805
-0.000262451     78.3792
-0.000278854     83.278
-0.000295257     88.1767
-0.000311661     93.0754
-0.000328064     97.9741
-0.000344467     102.873
-0.00036087     107.771
-0.000377273     112.67
-0.000393677     117.569
-0.00041008     122.468
-0.000393677     117.569
-0.000377273     112.67
-0.00036087     107.771
-0.000344467     102.873
-0.000328064     97.9741
-0.000311661     93.0754
-0.000295257     88.1767
-0.000278854     83.278
-0.000262451     78.3792
-0.000246048     73.4805
-0.000229645     68.5818
-0.000213241     63.6831
-0.000196838     58.7844
-0.000180435     53.8857
-0.000164032     48.987
-0.000147629     44.0883
-0.000131226     39.1896
-0.000114822     34.2909
-9.84191e-05     29.3922
-8.20159e-05     24.4935
-6.56128e-05     19.5948
-4.92096e-05     14.6961
-3.28064e-05     9.79741
-1.64032e-05     4.8987
-5.69206e-19     -1.25225e-14
1.64032e-05     -4.8987
3.28064e-05     -9.79741
4.92096e-05     -14.6961
6.56128e-05     -19.5948
8.20159e-05     -24.4935
9.84191e-05     -29.3922
0.000114822     -34.2909
0.000131226     -39.1896
0.000147629     -44.0883
0.000164032     -48.987
0.000180435     -53.8857
0.000196838     -58.7844
0.000213241     -63.6831
0.000229645     -68.5818
0.000246048     -73.4805
0.000262451     -78.3792
0.000278854     -83.278
0.000295257     -88.1767
0.000311661     -93.0754
0.000328064     -97.9741
0.000344467     -102.873
0.00036087     -107.771
0.000377273     -112.67
0.000393677     -117.569
0.00041008     -122.468
0.000390943     -116.752
0.000371806     -111.037
0.000352669     -105.322
0.000333531     -99.607
0.000314394     -93.8918
0.000295257     -88.1767
0.00027612     -82.4615
0.000256983     -76.7463
0.000237846     -71.0312
0.000218709     -65.316
0.000199572     -59.6009
0.000180435     -53.8857
0.000161298     -48.1706
0.000142161     -42.4554
0.000123024     -36.7403
0.000103887     -31.0251
8.47498e-05     -25.31
6.56128e-05     -19.5948
4.64757e-05     -13.8797
2.73386e-05     -8.16451
8.20159e-06     -2.44935
-1.09355e-05     3.2658
-3.00725e-05     8.98096
-4.92096e-05     14.6961
-6.83466e-05     20.4113
-8.74837e-05     26.1264
-0.000106621     31.8416
-0.000125758     37.5567
-0.000144895     43.2719
-0.000164032     48.987
-0.000183169     54.7022
-0.000202306     60.4173
-0.000221443     66.1325
-0.00024058     71.8476
-0.000259717     77.5628
-0.000278854     83.278
-0.000297991     88.9931
-0.000317128     94.7083
-0.000336265     100.423
-0.000355402     106.139
-0.000374539     111.854
-0.000393677     117.569
-0.000412814     123.284
-0.000431951     128.999
-0.000451088     134.714
-0.000470225     140.429
-0.000489362     146.145
-0.000508499     151.86
-0.000527636     157.575
-0.000546773     163.29
-0.000524902     156.758
-0.000503031     150.227
-0.00048116     143.695
-0.000459289     137.164
-0.000437418     130.632
-0.000415547     124.1
-0.000393677     117.569
-0.000371806     111.037
-0.000349935     104.506
-0.000328064     97.9741
-0.000306193     91.4425
-0.000284322     84.9109
-0.000262451     78.3792
-0.00024058     71.8476
-0.000218709     65.316
-0.000196838     58.7844
-0.000174967     52.2528
-0.000153096     45.7212
-0.000131226     39.1896
-0.000109355     32.658
-8.74837e-05     26.1264
-6.56128e-05     19.5948
-4.37418e-05     13.0632
-2.18709e-05     6.5316
-8.47033e-19     3.83401e-14
2.18709e-05     -6.5316
4.37418e-05     -13.0632
6.56128e-05     -19.5948
8.74837e-05     -26.1264
0.000109355     -32.658
0.000131226     -39.1896
0.000153096     -45.7212
0.000174967     -52.2528
0.000196838     -58.7844
0.000218709     -65.316
0.00024058     -71.8476
0.000262451     -78.3792
0.000284322     -84.9109
0.000306193     -91.4425
0.000328064     -97.9741
0.000349935     -104.506
0.000371806     -111.037
0.000393677     -117.569
0.000415547     -124.1
0.000437418     -130.632
0.000459289     -137.164
0.00048116     -143.695
0.000503031     -150.227
0.000524902     -156.758
0.000546773     -163.29
0.000524902     -156.758
0.000503031     -150.227
0.00048116     -143.695
0.000459289     -137.164
0.000437418     -130.632
0.000415547     -124.1
0.000393677     -117.569
0.000371806     -111.037
0.000349935     -104.506
0.000328064     -97.9741
0.000306193     -91.4425
0.000284322     -84.9109
0.000262451     -78.3792
0.00024058     -71.8476
0.000218709     -65.316
0.000196838     -58.7844
0.000174967     -52.2528
0.000153096     -45.7212
0.000131226     -39.1896
0.000109355     -32.658
8.74837e-05     -26.1264
6.56128e-05     -19.5948
4.37418e-05     -13.0632
2.18709e-05     -6.5316
-8.87691e-19     3.25667e-14
-2.18709e-05     6.5316
-4.37418e-05     13.0632
-6.56128e-05     19.5948
-8.74837e-05     26.1264
-0.000109355     32.658
-0.000131226     39.1896
-0.000153096     45.7212
-0.000174967     52.2528
-0.000196838     58.7844
-0.000218709     65.316
-0.00024058     71.8476
-0.000262451     78.3792
-0.000284322     84.9109
-0.000306193     91.4425
-0.000328064     97.9741
-0.000349935     104.506
-0.000371806     111.037
-0.000393677     117.569
-0.000415547     124.1
-0.000437418     130.632
-0.000459289     137.164
-0.00048116     143.695
-0.000503031     150.227
-0.000524902     156.758
-0.000546773     163.29
-0.000524902     156.758
-0.000503031     150.227
-0.00048116     143.695
-0.000459289     137.164
-0.000437418     130.632
-0.000415547     124.1
-0.000393677     117.569
-0.000371806     111.037
-0.000349935     104.506
-0.000328064     97.9741
-0.000306193     91.4425
-0.000284322     84.9109
-0.000262451     78.3792
-0.00024058     71.8476
-0.000218709     65.316
-0.000196838     58.7844
-0.000174967     52.2528
-0.000153096     45.7212
-0.000131226     39.1896
-0.000109355     32.658
-8.74837e-05     26.1264
-6.56128e-05     19.5948
-4.37418e-05     13.0632
-2.18709e-05     6.5316
-8.47033e-19     3.83401e-14
2.18709e-05     -6.5316
4.37418e-05     -13.0632
6.56128e-05     -19.5948
8.74837e-05     -26.1264
0.000109355     -32.658
0.000131226     -39.1896
0.000153096     -45.7212
0.000174967     -52.2528
0.000196838     -58.7844
0.000218709     -65.316
0.00024058     -71.8476
0.000262451     -78.3792
0.000284322     -84.9109
0.000306193     -91.4425
0.000328064     -97.9741
0.000349935     -104.506
0.000371806     -111.037
0.000393677     -117.569
0.000415547     -124.1
0.000437418     -130.632
0.000459289     -137.164
0.00048116     -143.695
0.000503031     -150.227
0.000524902     -156.758
0.000546773     -163.29
0.000524902     -156.758
0.000503031     -150.227
0.00048116     -143.695
0.000459289     -137.164
0.000437418     -130.632
0.000415547     -124.1
0.000393677     -117.569
0.000371806     -111.037
0.000349935     -104.506
0.000328064     -97.9741
0.000306193     -91.4425
0.000284322     -84.9109
0.000262451     -78.3792
0.00024058     -71.8476
0.000218709     -65.316
0.000196838     -58.7844
0.000174967     -52.2528
0.000153096     -45.7212
0.000131226     -39.1896
0.000109355     -32.658
8.74837e-05     -26.1264
6.56128e-05     -19.5948
4.37418e-05     -13.0632
2.18709e-05     -6.5316
-8.87691e-19     3.25667e-14
-2.18709e-05     6.5316
-4.37418e-05     13.0632
-6.56128e-05     19.5948
-8.74837e-05     26.1264
-0.000109355     32.658
-0.000131226     39.1896
-0.000153096     45.7212
-0.000174967     52.2528
-0.000196838     58.7844
-0.000218709     65.316
-0.00024058     71.8476
-0.000262451     78.3792
-0.000284322     84.9109
-0.000306193     91.4425
-0.000328064     97.9741
-0.000349935     104.506
-0.000371806     111.037
-0.000393677     117.569
-0.000415547     124.1
-0.000437418     130.632
-0.000459289     137.164
-0.00048116     143.695
-0.000503031     150.227
-0.000524902     156.758
-0.000546773     163.29
-0.000524902     156.758
-0.000503031     150.227
-0.00048116     143.695
-0.000459289     137.164
-0.000437418     130.632
-0.000415547     124.1
-0.000393677     117.569
-0.000371806     111.037
-0.000349935     104.506
-0.000328064     97.9741
-0.000306193     91.4425
-0.000284322     84.9109
-0.000262451     78.3792
-0.00024058     71.8476
-0.000218709     65.316
-0.000196838     58.7844
-0.000174967     52.2528
-0.000153096     45.7212
-0.000131226     39.1896
-0.000109355     32.658
-8.74837e-05     26.1264
-6.56128e-05     19.5948
-4.37418e-05     13.0632
-2.18709e-05     6.5316
-8.47033e-19     3.83401e-14
2.18709e-05     -6.5316
4.37418e-05     -13.0632
6.56128e-05     -19.5948
8.74837e-05     -26.1264
0.000109355     -32.658
0.000131226     -39.1896
0.000153096     -45.7212
0.000174967     -52.2528
0.000196838     -58.7844
0.000218709     -65.316
0.00024058     -71.8476
0.000262451     -78.3792
0.000284322     -84.9109
0.000306193     -91.4425
0.000328064     -97.9741
0.000349935     -104.506
0.000371806     -111.037
0.000393677     -117.569
0.000415547     -124.1
0.000437418     -130.632
0.000459289     -137.164
0.00048116     -143.695
0.000503031     -150.227
0.000524902     -156.758
0.000546773     -163.29
0.000524902     -156.758
0.000503031     -150.227
0.00048116     -143.695
0.000459289     -137.164
0.000437418     -130.632
0.000415547     -124.1
0.000393677     -117.569
0.000371806     -111.037
0.000349935     -104.506
0.000328064     -97.9741
0.000306193     -91.4425
0.000284322     -84.9109
0.000262451     -78.3792
0.00024058     -71.8476
0.000218709     -65.316
0.000196838     -58.7844
0.000174967     -52.2528
0.000153096     -45.7212
0.000131226     -39.1896
0.000109355     -32.658
8.74837e-05     -26.1264
6.56128e-05     -19.5948
4.37418e-05     -13.0632
2.18709e-05     -6.5316
-8.87691e-19     3.25667e-14
-2.18709e-05     6.5316
-4.37418e-05     13.0632
-6.56128e-05     19.5948
-8.74837e-05     26.1264
-0.000109355     32.658
-0.000131226     39.1896
-0.000153096     45.7212
-0.000174967     52.2528
-0.000196838     58.7844
-0.000218709     65.316
-0.00024058     71.8476
-0.000262451     78.3792
-0.000284322     84.9109
-0.000306193     91.4425
-0.000328064     97.9741
-0.000349935     104.506
-0.000371806     111.037
-0.000393677     117.569
-0.000415547     124.1
-0.000437418     130.632
-0.000459289     137.164
-0.00048116     143.695
-0.000503031     150.227
-0.000524902     156.758
-0.000546773     163.29
-0.000524902     156.758
-0.000503031     150.227
-0.00048116     143.695
-0.000459289     137.164
-0.000437418     130.632
-0.000415547     124.1
-0.000393677     117.569
-0.000371806     111.037
-0.000349935     104.506
-0.000328064     97.9741
-0.000306193     91.4425
-0.000284322     84.9109
-0.000262451     78.3792
-0.00024058     71.8476
-0.000218709     65.316
-0.000196838     58.7844
-0.000174967     52.2528
-0.000153096     45.7212
-0.000131226     39.1896
-0.000109355     32.658
-8.74837e-05     26.1264
-6.56128e-05     19.5948
-4.37418e-05     13.0632
-2.18709e-05     6.5316
-8.47033e-19     3.83401e-14
2.18709e-05     -6.5316
4.37418e-05     -13.0632
6.56128e-05     -19.5948
8.74837e-05     -26.1264
0.000109355     -32.658
0.000131226     -39.1896
0.000153096     -45.7212
0.000174967     -52.2528
0.000196838     -58.7844
0.000218709     -65.316
0.00024058     -71.8476
0.000262451     -78.3792
0.000284322     -84.9109
0.000306193     -91.4425
0.000328064     -97.9741
0.000349935     -104.506
0.000371806     -111.037
0.000393677     -117.569
0.000415547     -124.1
0.000437418     -130.632
0.000459289     -137.164
0.00048116     -143.695
0.000503031     -150.227
0.000524902     -156.758
0.000546773     -163.29
0.000524902     -156.758
0.000503031     -150.227
0.00048116     -143.695
0.000459289     -137.164
0.000437418     -130.632
0.000415547     -124.1
0.000393677     -117.569
0.000371806     -111.037
0.000349935     -104.506
0.000328064     -97.9741
0.000306193     -91.4425
0.000284322     -84.9109
0.000262451     -78.3792
0.00024058     -71.8476
0.000218709     -65.316
0.000196838     -58.7844
0.000174967     -52.2528
0.000153096     -45.7212
0.000131226     -39.1896
0.000109355     -32.658
8.74837e-05     -26.1264
6.56128e-05     -19.5948
4.37418e-05     -13.0632
2.18709e-05     -6.5316
-8.87691e-19     3.25667e-14
-2.18709e-05     6.5316
-4.37418e-05     13.0632
-6.56128e-05     19.5948
-8.74837e-05     26.1264
-0.000109355     32.658
-0.000131226     39.1896
-0.000153096     45.7212
-0.000174967     52.2528
-0.000196838     58.7844
-0.000218709     65.316
-0.00024058     71.8476
-0.000262451     78.3792
-0.000284322     84.9109
-0.000306193     91.4425
-0.000328064     97.9741
-0.000349935     104.506
-0.000371806     111.037
-0.000393677     117.569
-0.000415547     124.1
-0.000437418     130.632
-0.000459289     137.164
-0.00048116     143.695
-0.000503031     150.227
-0.000524902     156.758
-0.000546773     163.29
-0.000524902     156.758
-0.000503031     150.227
-0.00048116     143.695
-0.000459289     137.164
-0.000437418     130.632
-0.000415547     124.1
-0.000393677     117.569
-0.000371806     111.037
-0.000349935     104.506
-0.000328064     97.9741
-0.000306193     91.4425
-0.000284322     84.9109
-0.000262451     78.3792
-0.00024058     71.8476
-0.000218709     65.316
-0.000196838     58.7844
-0.000174967     52.2528
-0.000153096     45.7212
-0.000131226     39.1896
-0.000109355     32.658
-8.74837e-05     26.1264
-6.56128e-05     19.5948
-4.37418e-05     13.0632
-2.18709e-05     6.5316
-8.47033e-19     3.83401e-14
2.18709e-05     -6.5316
4.37418e-05     -13.0632
6.56128e-05     -19.5948
8.74837e-05     -26.1264
0.000109355     -32.658
0.000131226     -39.1896
0.000153096     -45.7212
0.000174967     -52.2528
0.000196838     -58.7844
0.000218709     -65.316
0.00024058     -71.8476
0.000262451     -78.3792
0.000284322     -84.9109
0.000306193     -91.4425
0.000328064     -97.9741
0.000349935     -104.506
0.000371806     -111.037
0.000393677     -117.569
0.000415547     -124.1
0.000437418     -130.632
0.000459289     -137.164
0.00048116     -143.695
0.000503031     -150.227
0.000524902     -156.758
0.000546773     -163.29
0.000524902     -156.758
0.000503031     -150.227
0.00048116     -143.695
0.000459289     -137.164
0.000437418     -130.632
0.000415547     -124.1
0.000393677     -117.569
0.000371806     -111.037
0.000349935     -104.506
0.000328064     -97.9741
0.000306193     -91.4425
0.000284322     -84.9109
0.000262451     -78.3792
0.00024058     -71.8476
0.000218709     -65.316
0.000196838     -58.7844
0.000174967     -52.2528
0.000153096     -45.7212
0.000131226     -39.1896
0.000109355     -32.658
8.74837e-05     -26.1264
6.56128e-05     -19.5948
4.37418e-05     -13.0632
2.18709e-05     -6.5316
-8.87691e-19     3.25667e-14
-2.18709e-05     6.5316
-4.37418e-05     13.0632
-6.56128e-05     19.5948
-8.74837e-05     26.1264
-0.000109355     32.658
-0.000131226     39.1896
-0.000153096     45.7212
-0.000174967     52.2528
-0.000196838     58.7844
-0.000218709     65.316
-0.00024058     71.8476
-0.000262451     78.3792
-0.000284322     84.9109
-0.000306193     91.4425
-0.000328064     97.9741
-0.000349935     104.506
-0.000371806     111.037
-0.000393677     117.569
-0.000415547     124.1
