[NODE]-[N4]-[2]-[1]     [BEAMCOLUMN]-[E3]-[1]-[2]
-7.2     -39.1896
-8.1     -44.0883
-9     -48.987
-9.9     -53.8857
-10.8     -58.7844
-11.7     -63.6831
-12.6     -68.5818
-13.5     -73.4805
-14.4     -78.3792
-15.3     -83.278
-16.2     -88.1767
-17.1     -93.0754
-18     -97.9741
-18.9     -102.873
-19.8     -107.771
-20.7     -112.67
-21.6     -117.569
-22.5     -122.468
-21.6     -117.569
-20.7     -112.67
-19.8     -107.771
-18.9     -102.873
-18     -97.9741
-17.1     -93.0754
-16.2     -88.1767
-15.3     -83.278
-14.4     -78.3792
-13.5     -73.4805
-12.6     -68.5818
-11.7     -63.6831
-10.8     -58.7844
-9.9     -53.8857
-9     -48.987
-8.1     -44.0883
-7.2     -39.1896
-6.3     -34.2909
-5.4     -29.3922
-4.5     -24.4935
-3.6     -19.5948
-2.7     -14.6961
-1.8     -9.79741
-0.9     -4.8987
-1.54321e-14     -2.9924e-14
0.9     4.8987
1.8     9.79741
2.7     14.6961
3.6     19.5948
4.5     24.4935
5.4     29.3922
6.3     34.2909
7.2     39.1896
8.1     44.0883
9     48.987
9.9     53.8857
10.8     58.7844
11.7     63.6831
12.6     68.5818
13.5     73.4805
14.4     78.3792
15.3     83.278
16.2     88.1767
17.1     93.0754
18     97.9741
18.9     102.873
19.8     107.771
20.7     112.67
21.6     117.569
22.5     122.468
21.6     117.569
20.7     112.67
19.8     107.771
18.9     102.873
18     97.9741
17.1     93.0754
16.2     88.1767
15.3     83.278
14.4     78.3792
13.5     73.4805
12.6     68.5818
11.7     63.6831
10.8     58.7844
9.9     53.8857
9     48.987
8.1     44.0883
7.2     39.1896
6.3     34.2909
5.4     29.3922
4.5     24.4935
3.6     19.5948
2.7     14.6961
1.8     9.79741
0.9     4.8987
-1.65423e-14     -3.25261e-14
-0.9     -4.8987
-1.8     -9.79741
-2.7     -14.6961
-3.6     -19.5948
-4.5     -24.4935
-5.4     -29.3922
-6.3     -34.2909
-7.2     -39.1896
-8.1     -44.0883
-9     -48.987
-9.9     -53.8857
-10.8     -58.7844
-11.7     -63.6831
-12.6     -68.5818
-13.5     -73.4805
-14.4     -78.3792
-15.3     -83.278
-16.2     -88.1767
-17.1     -93.0754
-18     -97.9741
-18.9     -102.873
-19.8     -107.771
-20.7     -112.67
-21.6     -117.569
-22.5     -122.468
-21.6     -117.569
-20.7     -112.67
-19.8     -107.771
-18.9     -102.873
-18     -97.9741
-17.1     -93.0754
-16.2     -88.1767
-15.3     -83.278
-14.4     -78.3792
-13.5     -73.4805
-12.6     -68.5818
-11.7     -63.6831
-10.8     -58.7844
-9.9     -53.8857
-9     -48.987
-8.1     -44.0883
-7.2     -39.1896
-6.3     -34.2909
-5.4     -29.3922
-4.5     -24.4935
-3.6     -19.5948
-2.7     -14.6961
-1.8     -9.79741
-0.9     -4.8987
-1.54321e-14     -2.9924e-14
0.9     4.8987
1.8     9.79741
2.7     14.6961
3.6     19.5948
4.5     24.4935
5.4     29.3922
6.3     34.2909
7.2     39.1896
8.1     44.0883
9     48.987
9.9     53.8857
10.8     58.7844
11.7     63.6831
12.6     68.5818
13.5     73.4805
14.4     78.3792
15.3     83.278
16.2     88.1767
17.1     93.0754
18     97.9741
18.9     102.873
19.8     107.771
20.7     112.67
21.6     117.569
22.5     122.468
21.6     117.569
20.7     112.67
19.8     107.771
18.9     102.873
18     97.9741
17.1     93.0754
16.2     88.1767
15.3     83.278
14.4     78.3792
13.5     73.4805
12.6     68.5818
11.7     63.6831
10.8     58.7844
9.9     53.8857
9     48.987
8.1     44.0883
7.2     39.1896
6.3     34.2909
5.4     29.3922
4.5     24.4935
3.6     19.5948
2.7     14.6961
1.8     9.79741
0.9     4.8987
-1.65423e-14     -3.25261e-14
-0.9     -4.8987
-1.8     -9.79741
-2.7     -14.6961
-3.6     -19.5948
-4.5     -24.4935
-5.4     -29.3922
-6.3     -34.2909
-7.2     -39.1896
-8.1     -44.0883
-9     -48.987
-9.9     -53.8857
-10.8     -58.7844
-11.7     -63.6831
-12.6     -68.5818
-13.5     -73.4805
-14.4     -78.3792
-15.3     -83.278
-16.2     -88.1767
-17.1     -93.0754
-18     -97.9741
-18.9     -102.873
-19.8     -107.771
-20.7     -112.67
-21.6     -117.569
-22.5     -122.468
-21.45     -116.752
-20.4     -111.037
-19.35     -105.322
-18.3     -99.607
-17.25     -93.8918
-16.2     -88.1767
-15.15     -82.4615
-14.1     -76.7463
-13.05     -71.0312
-12     -65.316
-10.95     -59.6009
-9.9     -53.8857
-8.85     -48.1706
-7.8     -42.4554
-6.75     -36.7403
-5.7     -31.0251
-4.65     -25.31
-3.6     -19.5948
-2.55     -13.8797
-1.5     -8.16451
-0.45     -2.44935
0.6     3.2658
1.65     8.98096
2.7     14.6961
3.75     20.4113
4.8     26.1264
5.85     31.8416
6.9     37.5567
7.95     43.2719
9     48.987
10.05     54.7022
11.1     60.4173
12.15     66.1325
13.2     71.8476
14.25     77.5628
15.3     83.278
16.35     88.9931
17.4     94.7083
18.45     100.423
19.5     106.139
20.55     111.854
21.6     117.569
22.65     123.284
23.7     128.999
24.75     134.714
25.8     140.429
26.85     146.145
27.9     151.86
28.95     157.575
30     163.29
28.8     156.758
27.6     150.227
26.4     143.695
25.2     137.164
24     130.632
22.8     124.1
21.6     117.569
20.4     111.037
19.2     104.506
18     97.9741
16.8     91.4425
15.6     84.9109
14.4     78.3792
13.2     71.8476
12     65.316
10.8     58.7844
9.6     52.2528
8.4     45.7212
7.2     39.1896
6     32.658
4.8     26.1264
3.6     19.5948
2.4     13.0632
1.2     6.5316
2.26485e-14     -6.245e-14
-1.2     -6.5316
-2.4     -13.0632
-3.6     -19.5948
-4.8     -26.1264
-6     -32.658
-7.2     -39.1896
-8.4     -45.7212
-9.6     -52.2528
-10.8     -58.7844
-12     -65.316
-13.2     -71.8476
-14.4     -78.3792
-15.6     -84.9109
-16.8     -91.4425
-18     -97.9741
-19.2     -104.506
-20.4     -111.037
-21.6     -117.569
-22.8     -124.1
-24     -130.632
-25.2     -137.164
-26.4     -143.695
-27.6     -150.227
-28.8     -156.758
-30     -163.29
-28.8     -156.758
-27.6     -150.227
-26.4     -143.695
-25.2     -137.164
-24     -130.632
-22.8     -124.1
-21.6     -117.569
-20.4     -111.037
-19.2     -104.506
-18     -97.9741
-16.8     -91.4425
-15.6     -84.9109
-14.4     -78.3792
-13.2     -71.8476
-12     -65.316
-10.8     -58.7844
-9.6     -52.2528
-8.4     -45.7212
-7.2     -39.1896
-6     -32.658
-4.8     -26.1264
-3.6     -19.5948
-2.4     -13.0632
-1.2     -6.5316
2.35367e-14     -6.245e-14
1.2     6.5316
2.4     13.0632
3.6     19.5948
4.8     26.1264
6     32.658
7.2     39.1896
8.4     45.7212
9.6     52.2528
10.8     58.7844
12     65.316
13.2     71.8476
14.4     78.3792
15.6     84.9109
16.8     91.4425
18     97.9741
19.2     104.506
20.4     111.037
21.6     117.569
22.8     124.1
24     130.632
25.2     137.164
26.4     143.695
27.6     150.227
28.8     156.758
30     163.29
28.8     156.758
27.6     150.227
26.4     143.695
25.2     137.164
24     130.632
22.8     124.1
21.6     117.569
20.4     111.037
19.2     104.506
18     97.9741
16.8     91.4425
15.6     84.9109
14.4     78.3792
13.2     71.8476
12     65.316
10.8     58.7844
9.6     52.2528
8.4     45.7212
7.2     39.1896
6     32.658
4.8     26.1264
3.6     19.5948
2.4     13.0632
1.2     6.5316
2.26485e-14     -6.245e-14
-1.2     -6.5316
-2.4     -13.0632
-3.6     -19.5948
-4.8     -26.1264
-6     -32.658
-7.2     -39.1896
-8.4     -45.7212
-9.6     -52.2528
-10.8     -58.7844
-12     -65.316
-13.2     -71.8476
-14.4     -78.3792
-15.6     -84.9109
-16.8     -91.4425
-18     -97.9741
-19.2     -104.506
-20.4     -111.037
-21.6     -117.569
-22.8     -124.1
-24     -130.632
-25.2     -137.164
-26.4     -143.695
-27.6     -150.227
-28.8     -156.758
-30     -163.29
-28.8     -156.758
-27.6     -150.227
-26.4     -143.695
-25.2     -137.164
-24     -130.632
-22.8     -124.1
-21.6     -117.569
-20.4     -111.037
-19.2     -104.506
-18     -97.9741
-16.8     -91.4425
-15.6     -84.9109
-14.4     -78.3792
-13.2     -71.8476
-12     -65.316
-10.8     -58.7844
-9.6     -52.2528
-8.4     -45.7212
-7.2     -39.1896
-6     -32.658
-4.8     -26.1264
-3.6     -19.5948
-2.4     -13.0632
-1.2     -6.5316
2.35367e-14     -6.245e-14
1.2     6.5316
2.4     13.0632
3.6     19.5948
4.8     26.1264
6     32.658
7.2     39.1896
8.4     45.7212
9.6     52.2528
10.8     58.7844
12     65.316
13.2     71.8476
14.4     78.3792
15.6     84.9109
16.8     91.4425
18     97.9741
19.2     104.506
20.4     111.037
21.6     117.569
22.8     124.1
24     130.632
25.2     137.164
26.4     143.695
27.6     150.227
28.8     156.758
30     163.29
28.8     156.758
27.6     150.227
26.4     143.695
25.2     137.164
24     130.632
22.8     124.1
21.6     117.569
20.4     111.037
19.2     104.506
18     97.9741
16.8     91.4425
15.6     84.9109
14.4     78.3792
13.2     71.8476
12     65.316
10.8     58.7844
9.6     52.2528
8.4     45.7212
7.2     39.1896
6     32.658
4.8     26.1264
3.6     19.5948
2.4     13.0632
1.2     6.5316
2.26485e-14     -6.245e-14
-1.2     -6.5316
-2.4     -13.0632
-3.6     -19.5948
-4.8     -26.1264
-6     -32.658
-7.2     -39.1896
-8.4     -45.7212
-9.6     -52.2528
-10.8     -58.7844
-12     -65.316
-13.2     -71.8476
-14.4     -78.3792
-15.6     -84.9109
-16.8     -91.4425
-18     -97.9741
-19.2     -104.506
-20.4     -111.037
-21.6     -117.569
-22.8     -124.1
-24     -130.632
-25.2     -137.164
-26.4     -143.695
-27.6     -150.227
-28.8     -156.758
-30     -163.29
-28.8     -156.758
-27.6     -150.227
-26.4     -143.695
-25.2     -137.164
-24     -130.632
-22.8     -124.1
-21.6     -117.569
-20.4     -111.037
-19.2     -104.506
-18     -97.9741
-16.8     -91.4425
-15.6     -84.9109
-14.4     -78.3792
-13.2     -71.8476
-12     -65.316
-10.8     -58.7844
-9.6     -52.2528
-8.4     -45.7212
-7.2     -39.1896
-6     -32.658
-4.8     -26.1264
-3.6     -19.5948
-2.4     -13.0632
-1.2     -6.5316
2.35367e-14     -6.245e-14
1.2     6.5316
2.4     13.0632
3.6     19.5948
4.8     26.1264
6     32.658
7.2     39.1896
8.4     45.7212
9.6     52.2528
10.8     58.7844
12     65.316
13.2     71.8476
14.4     78.3792
15.6     84.9109
16.8     91.4425
18     97.9741
19.2     104.506
20.4     111.037
21.6     117.569
22.8     124.1
24     130.632
25.2     137.164
26.4     143.695
27.6     150.227
28.8     156.758
30     163.29
28.8     156.758
27.6     150.227
26.4     143.695
25.2     137.164
24     130.632
22.8     124.1
21.6     117.569
20.4     111.037
19.2     104.506
18     97.9741
16.8     91.4425
15.6     84.9109
14.4     78.3792
13.2     71.8476
12     65.316
10.8     58.7844
9.6     52.2528
8.4     45.7212
7.2     39.1896
6     32.658
4.8     26.1264
3.6     19.5948
2.4     13.0632
1.2     6.5316
2.26485e-14     -6.245e-14
-1.2     -6.5316
-2.4     -13.0632
-3.6     -19.5948
-4.8     -26.1264
-6     -32.658
-7.2     -39.1896
-8.4     -45.7212
-9.6     -52.2528
-10.8     -58.7844
-12     -65.316
-13.2     -71.8476
-14.4     -78.3792
-15.6     -84.9109
-16.8     -91.4425
-18     -97.9741
-19.2     -104.506
-20.4     -111.037
-21.6     -117.569
-22.8     -124.1
-24     -130.632
-25.2     -137.164
-26.4     -143.695
-27.6     -150.227
-28.8     -156.758
-30     -163.29
-28.8     -156.758
-27.6     -150.227
-26.4     -143.695
-25.2     -137.164
-24     -130.632
-22.8     -124.1
-21.6     -117.569
-20.4     -111.037
-19.2     -104.506
-18     -97.9741
-16.8     -91.4425
-15.6     -84.9109
-14.4     -78.3792
-13.2     -71.8476
-12     -65.316
-10.8     -58.7844
-9.6     -52.2528
-8.4     -45.7212
-7.2     -39.1896
-6     -32.658
-4.8     -26.1264
-3.6     -19.5948
-2.4     -13.0632
-1.2     -6.5316
2.35367e-14     -6.245e-14
1.2     6.5316
2.4     13.0632
3.6     19.5948
4.8     26.1264
6     32.658
7.2     39.1896
8.4     45.7212
9.6     52.2528
10.8     58.7844
12     65.316
13.2     71.8476
14.4     78.3792
15.6     84.9109
16.8     91.4425
18     97.9741
19.2     104.506
20.4     111.037
21.6     117.569
22.8     124.1
24     130.632
25.2     137.164
26.4     143.695
27.6     150.227
28.8     156.758
30     163.29
28.8     156.758
27.6     150.227
26.4     143.695
25.2     137.164
24     130.632
22.8     124.1
21.6     117.569
20.4     111.037
19.2     104.506
18     97.9741
16.8     91.4425
15.6     84.9109
14.4     78.3792
13.2     71.8476
12     65.316
10.8     58.7844
9.6     52.2528
8.4     45.7212
7.2     39.1896
6     32.658
4.8     26.1264
3.6     19.5948
2.4     13.0632
1.2     6.5316
2.26485e-14     -6.245e-14
-1.2     -6.5316
-2.4     -13.0632
-3.6     -19.5948
-4.8     -26.1264
-6     -32.658
-7.2     -39.1896
-8.4     -45.7212
-9.6     -52.2528
-10.8     -58.7844
-12     -65.316
-13.2     -71.8476
-14.4     -78.3792
-15.6     -84.9109
-16.8     -91.4425
-18     -97.9741
-19.2     -104.506
-20.4     -111.037
-21.6     -117.569
-22.8     -124.1
-24     -130.632
-25.2     -137.164
-26.4     -143.695
-27.6     -150.227
-28.8     -156.758
-30     -163.29
-28.8     -156.758
-27.6     -150.227
-26.4     -143.695
-25.2     -137.164
-24     -130.632
-22.8     -124.1
-21.6     -117.569
-20.4     -111.037
-19.2     -104.506
-18     -97.9741
-16.8     -91.4425
-15.6     -84.9109
-14.4     -78.3792
-13.2     -71.8476
-12     -65.316
-10.8     -58.7844
-9.6     -52.2528
-8.4     -45.7212
-7.2     -39.1896
-6     -32.658
-4.8     -26.1264
-3.6     -19.5948
-2.4     -13.0632
-1.2     -6.5316
2.35367e-14     -6.245e-14
1.2     6.5316
2.4     13.0632
3.6     19.5948
4.8     26.1264
6     32.658
7.2     39.1896
8.4     45.7212
9.6     52.2528
10.8     58.7844
12     65.316
13.2     71.8476
14.4     78.3792
15.6     84.9109
16.8     91.4425
18     97.9741
19.2     104.506
20.4     111.037
21.6     117.569
22.8     124.1
24     130.632
25.2     137.164
26.4     143.695
27.6     150.227
28.8     156.758
30     163.29
28.8     156.758
27.6     150.227
26.4     143.695
25.2     137.164
24     130.632
22.8     124.1
21.6     117.569
20.4     111.037
19.2     104.506
18     97.9741
16.8     91.4425
15.6     84.9109
14.4     78.3792
13.2     71.8476
12     65.316
10.8     58.7844
9.6     52.2528
8.4     45.7212
7.2     39.1896
6     32.658
4.8     26.1264
3.6     19.5948
2.4     13.0632
1.2     6.5316
2.26485e-14     -6.245e-14
-1.2     -6.5316
-2.4     -13.0632
-3.6     -19.5948
-4.8     -26.1264
-6     -32.658
-7.2     -39.1896
-8.4     -45.7212
-9.6     -52.2528
-10.8     -58.7844
-12     -65.316
-13.2     -71.8476
-14.4     -78.3792
-15.6     -84.9109
-16.8     -91.4425
-18     -97.9741
-19.2     -104.506
-20.4     -111.037
-21.6     -117.569
-22.8     -124.1
-24     -130.632
-25.2     -137.164
-26.4     -143.695
-27.6     -150.227
-28.8     -156.758
-30     -163.29
-28.5     -155.126
-27     -146.961
-25.5     -138.797
-24     -130.632
-22.5     -122.468
-21     -114.303
-19.5     -106.139
-18     -97.9741
-16.5     -89.8096
-15     -81.6451
-13.5     -73.4805
-12     -65.316
-10.5     -57.1515
-9     -48.987
-7.5     -40.8225
-6     -32.658
-4.5     -24.4935
-3     -16.329
-1.5     -8.16451
3.55271e-14     -1.95156e-13
1.5     8.16451
3     16.329
4.5     24.4935
6     32.658
7.5     40.8225
9     48.987
10.5     57.1515
12     65.316
13.5     73.4805
15     81.6451
16.5     89.8096
18     97.9741
19.5     106.139
21     114.303
22.5     122.468
24     130.632
25.5     138.797
27     146.961
28.5     155.126
30     163.29
31.5     171.455
33     179.619
34.5     187.784
36     195.948
37.5     204.113
39     212.277
40.5     220.442
42     228.606
43.5     236.771
45     244.935
43.2     235.138
41.4     225.34
39.6     215.543
37.8     205.746
36     195.948
34.2     186.151
32.4     176.353
30.6     166.556
28.8     156.758
27     146.961
25.2     137.164
23.4     127.366
21.6     117.569
19.8     107.771
18     97.9741
16.2     88.1767
14.4     78.3792
12.6     68.5818
10.8     58.7844
9     48.987
7.2     39.1896
5.4     29.3922
3.6     19.5948
1.8     9.79741
4.50751e-14     -3.56486e-13
-1.8     -9.79741
-3.6     -19.5948
-5.4     -29.3922
-7.2     -39.1896
-9     -48.987
-10.8     -58.7844
-12.6     -68.5818
-14.4     -78.3792
-16.2     -88.1767
-18     -97.9741
-19.8     -107.771
-21.6     -117.569
-23.4     -127.366
-25.2     -137.164
-27     -146.961
-28.8     -156.758
-30.6     -166.556
-32.4     -176.353
-34.2     -186.151
-36     -195.948
-37.8     -205.746
-39.6     -215.543
-41.4     -225.34
-43.2     -235.138
-45     -244.935
-43.2     -235.138
-41.4     -225.34
-39.6     -215.543
-37.8     -205.746
-36     -195.948
-34.2     -186.151
-32.4     -176.353
-30.6     -166.556
-28.8     -156.758
-27     -146.961
-25.2     -137.164
-23.4     -127.366
-21.6     -117.569
-19.8     -107.771
-18     -97.9741
-16.2     -88.1767
-14.4     -78.3792
-12.6     -68.5818
-10.8     -58.7844
-9     -48.987
-7.2     -39.1896
-5.4     -29.3922
-3.6     -19.5948
-1.8     -9.79741
4.72955e-14     -3.51282e-13
1.8     9.79741
3.6     19.5948
5.4     29.3922
7.2     39.1896
9     48.987
10.8     58.7844
12.6     68.5818
14.4     78.3792
16.2     88.1767
18     97.9741
19.8     107.771
21.6     117.569
23.4     127.366
25.2     137.164
27     146.961
28.8     156.758
30.6     166.556
32.4     176.353
34.2     186.151
36     195.948
37.8     205.746
39.6     215.543
41.4     225.34
43.2     235.138
45     244.935
43.2     235.138
41.4     225.34
39.6     215.543
37.8     205.746
36     195.948
34.2     186.151
32.4     176.353
30.6     166.556
28.8     156.758
27     146.961
25.2     137.164
23.4     127.366
21.6     117.569
19.8     107.771
18     97.9741
16.2     88.1767
14.4     78.3792
12.6     68.5818
10.8     58.7844
9     48.987
7.2     39.1896
5.4     29.3922
3.6     19.5948
1.8     9.79741
4.50751e-14     -3.56486e-13
-1.8     -9.79741
-3.6     -19.5948
-5.4     -29.3922
-7.2     -39.1896
-9     -48.987
-10.8     -58.7844
-12.6     -68.5818
-14.4     -78.3792
-16.2     -88.1767
-18     -97.9741
-19.8     -107.771
-21.6     -117.569
-23.4     -127.366
-25.2     -137.164
-27     -146.961
-28.8     -156.758
-30.6     -166.556
-32.4     -176.353
-34.2     -186.151
-36     -195.948
-37.8     -205.746
-39.6     -215.543
-41.4     -225.34
-43.2     -235.138
-45     -244.935
-43.2     -235.138
-41.4     -225.34
-39.6     -215.543
-37.8     -205.746
-36     -195.948
-34.2     -186.151
-32.4     -176.353
-30.6     -166.556
-28.8     -156.758
-27     -146.961
-25.2     -137.164
-23.4     -127.366
-21.6     -117.569
-19.8     -107.771
-18     -97.9741
-16.2     -88.1767
-14.4     -78.3792
-12.6     -68.5818
-10.8     -58.7844
-9     -48.987
-7.2     -39.1896
-5.4     -29.3922
-3.6     -19.5948
-1.8     -9.79741
4.72955e-14     -3.51282e-13
1.8     9.79741
3.6     19.5948
5.4     29.3922
7.2     39.1896
9     48.987
10.8     58.7844
12.6     68.5818
14.4     78.3792
16.2     88.1767
18     97.9741
19.8     107.771
21.6     117.569
23.4     127.366
25.2     137.164
27     146.961
28.8     156.758
30.6     166.556
32.4     176.353
34.2     186.151
36     195.948
37.8     205.746
39.6     215.543
41.4     225.34
43.2     235.138
45     244.935
43.2     235.138
41.4     225.34
39.6     215.543
37.8     205.746
36     195.948
34.2     186.151
32.4     176.353
30.6     166.556
28.8     156.758
27     146.961
25.2     137.164
23.4     127.366
21.6     117.569
19.8     107.771
18     97.9741
16.2     88.1767
14.4     78.3792
12.6     68.5818
10.8     58.7844
9     48.987
7.2     39.1896
5.4     29.3922
3.6     19.5948
1.8     9.79741
4.50751e-14     -3.56486e-13
-1.8     -9.79741
-3.6     -19.5948
-5.4     -29.3922
-7.2     -39.1896
-9     -48.987
-10.8     -58.7844
-12.6     -68.5818
