[NODE]-[N2]-[6]-[1]     [BEAMCOLUMN]-[E3]-[1]-[2]
1.31229e-05     4.8987
2.62458e-05     9.79741
3.93686e-05     14.6961
5.24915e-05     19.5948
6.56144e-05     24.4935
7.87373e-05     29.3922
9.18602e-05     34.2909
0.000104983     39.1896
0.000118106     44.0883
0.000131229     48.987
0.000144352     53.8857
0.000157475     58.7844
0.000170597     63.6831
0.00018372     68.5818
0.000196843     73.4805
0.000209966     78.3792
0.000223089     83.278
0.000236212     88.1767
0.000249335     93.0754
0.000262458     97.9741
0.00027558     102.873
0.000288703     107.771
0.000301826     112.67
0.000314949     117.569
0.000328072     122.468
0.000314949     117.569
0.000301826     112.67
0.000288703     107.771
0.00027558     102.873
0.000262458     97.9741
0.000249335     93.0754
0.000236212     88.1767
0.000223089     83.278
0.000209966     78.3792
0.000196843     73.4805
0.00018372     68.5818
0.000170597     63.6831
0.000157475     58.7844
0.000144352     53.8857
0.000131229     48.987
0.000118106     44.0883
0.000104983     39.1896
9.18602e-05     34.2909
7.87373e-05     29.3922
6.56144e-05     24.4935
5.24915e-05     19.5948
3.93686e-05     14.6961
2.62458e-05     9.79741
1.31229e-05     4.8987
-3.55754e-20     -3.25261e-14
-1.31229e-05     -4.8987
-2.62458e-05     -9.79741
-3.93686e-05     -14.6961
-5.24915e-05     -19.5948
-6.56144e-05     -24.4935
-7.87373e-05     -29.3922
-9.18602e-05     -34.2909
-0.000104983     -39.1896
-0.000118106     -44.0883
-0.000131229     -48.987
-0.000144352     -53.8857
-0.000157475     -58.7844
-0.000170597     -63.6831
-0.00018372     -68.5818
-0.000196843     -73.4805
-0.000209966     -78.3792
-0.000223089     -83.278
-0.000236212     -88.1767
-0.000249335     -93.0754
-0.000262458     -97.9741
-0.00027558     -102.873
-0.000288703     -107.771
-0.000301826     -112.67
-0.000314949     -117.569
-0.000328072     -122.468
-0.000314949     -117.569
-0.000301826     -112.67
-0.000288703     -107.771
-0.00027558     -102.873
-0.000262458     -97.9741
-0.000249335     -93.0754
-0.000236212     -88.1767
-0.000223089     -83.278
-0.000209966     -78.3792
-0.000196843     -73.4805
-0.00018372     -68.5818
-0.000170597     -63.6831
-0.000157475     -58.7844
-0.000144352     -53.8857
-0.000131229     -48.987
-0.000118106     -44.0883
-0.000104983     -39.1896
-9.18602e-05     -34.2909
-7.87373e-05     -29.3922
-6.56144e-05     -24.4935
-5.24915e-05     -19.5948
-3.93686e-05     -14.6961
-2.62458e-05     -9.79741
-1.31229e-05     -4.8987
-1.86347e-20     -2.9924e-14
1.31229e-05     4.8987
2.62458e-05     9.79741
3.93686e-05     14.6961
5.24915e-05     19.5948
6.56144e-05     24.4935
7.87373e-05     29.3922
9.18602e-05     34.2909
0.000104983     39.1896
0.000118106     44.0883
0.000131229     48.987
0.000144352     53.8857
0.000157475     58.7844
0.000170597     63.6831
0.00018372     68.5818
0.000196843     73.4805
0.000209966     78.3792
0.000223089     83.278
0.000236212     88.1767
0.000249335     93.0754
0.000262458     97.9741
0.00027558     102.873
0.000288703     107.771
0.000301826     112.67
0.000314949     117.569
0.000328072     122.468
0.000314949     117.569
0.000301826     112.67
0.000288703     107.771
0.00027558     102.873
0.000262458     97.9741
0.000249335     93.0754
0.000236212     88.1767
0.000223089     83.278
0.000209966     78.3792
0.000196843     73.4805
0.00018372     68.5818
0.000170597     63.6831
0.000157475     58.7844
0.000144352     53.8857
0.000131229     48.987
0.000118106     44.0883
0.000104983     39.1896
9.18602e-05     34.2909
7.87373e-05     29.3922
6.56144e-05     24.4935
5.24915e-05     19.5948
3.93686e-05     14.6961
2.62458e-05     9.79741
1.31229e-05     4.8987
-3.55754e-20     -3.25261e-14
-1.31229e-05     -4.8987
-2.62458e-05     -9.79741
-3.93686e-05     -14.6961
-5.24915e-05     -19.5948
-6.56144e-05     -24.4935
-7.87373e-05     -29.3922
-9.18602e-05     -34.2909
-0.000104983     -39.1896
-0.000118106     -44.0883
-0.000131229     -48.987
-0.000144352     -53.8857
-0.000157475     -58.7844
-0.000170597     -63.6831
-0.00018372     -68.5818
-0.000196843     -73.4805
-0.000209966     -78.3792
-0.000223089     -83.278
-0.000236212     -88.1767
-0.000249335     -93.0754
-0.000262458     -97.9741
-0.00027558     -102.873
-0.000288703     -107.771
-0.000301826     -112.67
-0.000314949     -117.569
-0.000328072     -122.468
-0.000314949     -117.569
-0.000301826     -112.67
-0.000288703     -107.771
-0.00027558     -102.873
-0.000262458     -97.9741
-0.000249335     -93.0754
-0.000236212     -88.1767
-0.000223089     -83.278
-0.000209966     -78.3792
-0.000196843     -73.4805
-0.00018372     -68.5818
-0.000170597     -63.6831
-0.000157475     -58.7844
-0.000144352     -53.8857
-0.000131229     -48.987
-0.000118106     -44.0883
-0.000104983     -39.1896
-9.18602e-05     -34.2909
-7.87373e-05     -29.3922
-6.56144e-05     -24.4935
-5.24915e-05     -19.5948
-3.93686e-05     -14.6961
-2.62458e-05     -9.79741
-1.31229e-05     -4.8987
-1.86347e-20     -2.9924e-14
1.31229e-05     4.8987
2.62458e-05     9.79741
3.93686e-05     14.6961
5.24915e-05     19.5948
6.56144e-05     24.4935
7.87373e-05     29.3922
9.18602e-05     34.2909
0.000104983     39.1896
0.000118106     44.0883
0.000131229     48.987
0.000144352     53.8857
0.000157475     58.7844
0.000170597     63.6831
0.00018372     68.5818
0.000196843     73.4805
0.000209966     78.3792
0.000223089     83.278
0.000236212     88.1767
0.000249335     93.0754
0.000262458     97.9741
0.00027558     102.873
0.000288703     107.771
0.000301826     112.67
0.000314949     117.569
0.000328072     122.468
0.000314949     117.569
0.000301826     112.67
0.000288703     107.771
0.00027558     102.873
0.000262458     97.9741
0.000249335     93.0754
0.000236212     88.1767
0.000223089     83.278
0.000209966     78.3792
0.000196843     73.4805
0.00018372     68.5818
0.000170597     63.6831
0.000157475     58.7844
0.000144352     53.8857
0.000131229     48.987
0.000118106     44.0883
0.000104983     39.1896
9.18602e-05     34.2909
7.87373e-05     29.3922
6.56144e-05     24.4935
5.24915e-05     19.5948
3.93686e-05     14.6961
2.62458e-05     9.79741
1.31229e-05     4.8987
-3.55754e-20     -3.25261e-14
-1.31229e-05     -4.8987
-2.62458e-05     -9.79741
-3.93686e-05     -14.6961
-5.24915e-05     -19.5948
-6.56144e-05     -24.4935
-7.87373e-05     -29.3922
-9.18602e-05     -34.2909
-0.000104983     -39.1896
-0.000118106     -44.0883
-0.000131229     -48.987
-0.000144352     -53.8857
-0.000157475     -58.7844
-0.000170597     -63.6831
-0.00018372     -68.5818
-0.000196843     -73.4805
-0.000209966     -78.3792
-0.000223089     -83.278
-0.000236212     -88.1767
-0.000249335     -93.0754
-0.000262458     -97.9741
-0.00027558     -102.873
-0.000288703     -107.771
-0.000301826     -112.67
-0.000314949     -117.569
-0.000328072     -122.468
-0.000314949     -117.569
-0.000301826     -112.67
-0.000288703     -107.771
-0.00027558     -102.873
-0.000262458     -97.9741
-0.000249335     -93.0754
-0.000236212     -88.1767
-0.000223089     -83.278
-0.000209966     -78.3792
-0.000196843     -73.4805
-0.00018372     -68.5818
-0.000170597     -63.6831
-0.000157475     -58.7844
-0.000144352     -53.8857
-0.000131229     -48.987
-0.000118106     -44.0883
-0.000104983     -39.1896
-9.18602e-05     -34.2909
-7.87373e-05     -29.3922
-6.56144e-05     -24.4935
-5.24915e-05     -19.5948
-3.93686e-05     -14.6961
-2.62458e-05     -9.79741
-1.31229e-05     -4.8987
-1.86347e-20     -2.9924e-14
1.31229e-05     4.8987
2.62458e-05     9.79741
3.93686e-05     14.6961
5.24915e-05     19.5948
6.56144e-05     24.4935
7.87373e-05     29.3922
9.18602e-05     34.2909
0.000104983     39.1896
0.000118106     44.0883
0.000131229     48.987
0.000144352     53.8857
0.000157475     58.7844
0.000170597     63.6831
0.00018372     68.5818
0.000196843     73.4805
0.000209966     78.3792
0.000223089     83.278
0.000236212     88.1767
0.000249335     93.0754
0.000262458     97.9741
0.00027558     102.873
0.000288703     107.771
0.000301826     112.67
0.000314949     117.569
0.000328072     122.468
0.000314949     117.569
0.000301826     112.67
0.000288703     107.771
0.00027558     102.873
0.000262458     97.9741
0.000249335     93.0754
0.000236212     88.1767
0.000223089     83.278
0.000209966     78.3792
0.000196843     73.4805
0.00018372     68.5818
0.000170597     63.6831
0.000157475     58.7844
0.000144352     53.8857
0.000131229     48.987
0.000118106     44.0883
0.000104983     39.1896
9.18602e-05     34.2909
7.87373e-05     29.3922
6.56144e-05     24.4935
5.24915e-05     19.5948
3.93686e-05     14.6961
2.62458e-05     9.79741
1.31229e-05     4.8987
-3.55754e-20     -3.25261e-14
-1.31229e-05     -4.8987
-2.62458e-05     -9.79741
-3.93686e-05     -14.6961
-5.24915e-05     -19.5948
-6.56144e-05     -24.4935
-7.87373e-05     -29.3922
-9.18602e-05     -34.2909
-0.000104983     -39.1896
-0.000118106     -44.0883
-0.000131229     -48.987
-0.000144352     -53.8857
-0.000157475     -58.7844
-0.000170597     -63.6831
-0.00018372     -68.5818
-0.000196843     -73.4805
-0.000209966     -78.3792
-0.000223089     -83.278
-0.000236212     -88.1767
-0.000249335     -93.0754
-0.000262458     -97.9741
-0.00027558     -102.873
-0.000288703     -107.771
-0.000301826     -112.67
-0.000314949     -117.569
-0.000328072     -122.468
-0.000312762     -116.752
-0.000297452     -111.037
-0.000282142     -105.322
-0.000266832     -99.607
-0.000251522     -93.8918
-0.000236212     -88.1767
-0.000220902     -82.4615
-0.000205592     -76.7463
-0.000190282     -71.0312
-0.000174972     -65.316
-0.000159662     -59.6009
-0.000144352     -53.8857
-0.000129042     -48.1706
-0.000113732     -42.4554
-9.84216e-05     -36.7403
-8.31116e-05     -31.0251
-6.78015e-05     -25.31
-5.24915e-05     -19.5948
-3.71815e-05     -13.8797
-2.18715e-05     -8.16451
-6.56144e-06     -2.44935
8.74859e-06     3.2658
2.40586e-05     8.98096
3.93686e-05     14.6961
5.46787e-05     20.4113
6.99887e-05     26.1264
8.52987e-05     31.8416
0.000100609     37.5567
0.000115919     43.2719
0.000131229     48.987
0.000146539     54.7022
0.000161849     60.4173
0.000177159     66.1325
0.000192469     71.8476
0.000207779     77.5628
0.000223089     83.278
0.000238399     88.9931
0.000253709     94.7083
0.000269019     100.423
0.000284329     106.139
0.000299639     111.854
0.000314949     117.569
0.000330259     123.284
0.000345569     128.999
0.000360879     134.714
0.000376189     140.429
0.000391499     146.145
0.000406809     151.86
0.000422119     157.575
0.000437429     163.29
0.000419932     156.758
0.000402435     150.227
0.000384938     143.695
0.000367441     137.164
0.000349943     130.632
0.000332446     124.1
0.000314949     117.569
0.000297452     111.037
0.000279955     104.506
0.000262458     97.9741
0.00024496     91.4425
0.000227463     84.9109
0.000209966     78.3792
0.000192469     71.8476
0.000174972     65.316
0.000157475     58.7844
0.000139977     52.2528
0.00012248     45.7212
0.000104983     39.1896
8.74859e-05     32.658
6.99887e-05     26.1264
5.24915e-05     19.5948
3.49943e-05     13.0632
1.74972e-05     6.5316
-6.09864e-20     -6.245e-14
-1.74972e-05     -6.5316
-3.49943e-05     -13.0632
-5.24915e-05     -19.5948
-6.99887e-05     -26.1264
-8.74859e-05     -32.658
-0.000104983     -39.1896
-0.00012248     -45.7212
-0.000139977     -52.2528
-0.000157475     -58.7844
-0.000174972     -65.316
-0.000192469     -71.8476
-0.000209966     -78.3792
-0.000227463     -84.9109
-0.00024496     -91.4425
-0.000262458     -97.9741
-0.000279955     -104.506
-0.000297452     -111.037
-0.000314949     -117.569
-0.000332446     -124.1
-0.000349943     -130.632
-0.000367441     -137.164
-0.000384938     -143.695
-0.000402435     -150.227
-0.000419932     -156.758
-0.000437429     -163.29
-0.000419932     -156.758
-0.000402435     -150.227
-0.000384938     -143.695
-0.000367441     -137.164
-0.000349943     -130.632
-0.000332446     -124.1
-0.000314949     -117.569
-0.000297452     -111.037
-0.000279955     -104.506
-0.000262458     -97.9741
-0.00024496     -91.4425
-0.000227463     -84.9109
-0.000209966     -78.3792
-0.000192469     -71.8476
-0.000174972     -65.316
-0.000157475     -58.7844
-0.000139977     -52.2528
-0.00012248     -45.7212
-0.000104983     -39.1896
-8.74859e-05     -32.658
-6.99887e-05     -26.1264
-5.24915e-05     -19.5948
-3.49943e-05     -13.0632
-1.74972e-05     -6.5316
-1.01644e-19     -6.245e-14
1.74972e-05     6.5316
3.49943e-05     13.0632
5.24915e-05     19.5948
6.99887e-05     26.1264
8.74859e-05     32.658
0.000104983     39.1896
0.00012248     45.7212
0.000139977     52.2528
0.000157475     58.7844
0.000174972     65.316
0.000192469     71.8476
0.000209966     78.3792
0.000227463     84.9109
0.00024496     91.4425
0.000262458     97.9741
0.000279955     104.506
0.000297452     111.037
0.000314949     117.569
0.000332446     124.1
0.000349943     130.632
0.000367441     137.164
0.000384938     143.695
0.000402435     150.227
0.000419932     156.758
0.000437429     163.29
0.000419932     156.758
0.000402435     150.227
0.000384938     143.695
0.000367441     137.164
0.000349943     130.632
0.000332446     124.1
0.000314949     117.569
0.000297452     111.037
0.000279955     104.506
0.000262458     97.9741
0.00024496     91.4425
0.000227463     84.9109
0.000209966     78.3792
0.000192469     71.8476
0.000174972     65.316
0.000157475     58.7844
0.000139977     52.2528
0.00012248     45.7212
0.000104983     39.1896
8.74859e-05     32.658
6.99887e-05     26.1264
5.24915e-05     19.5948
3.49943e-05     13.0632
1.74972e-05     6.5316
-6.09864e-20     -6.245e-14
-1.74972e-05     -6.5316
-3.49943e-05     -13.0632
-5.24915e-05     -19.5948
-6.99887e-05     -26.1264
-8.74859e-05     -32.658
-0.000104983     -39.1896
-0.00012248     -45.7212
-0.000139977     -52.2528
-0.000157475     -58.7844
-0.000174972     -65.316
-0.000192469     -71.8476
-0.000209966     -78.3792
-0.000227463     -84.9109
-0.00024496     -91.4425
-0.000262458     -97.9741
-0.000279955     -104.506
-0.000297452     -111.037
-0.000314949     -117.569
-0.000332446     -124.1
-0.000349943     -130.632
-0.000367441     -137.164
-0.000384938     -143.695
-0.000402435     -150.227
-0.000419932     -156.758
-0.000437429     -163.29
-0.000419932     -156.758
-0.000402435     -150.227
-0.000384938     -143.695
-0.000367441     -137.164
-0.000349943     -130.632
-0.000332446     -124.1
-0.000314949     -117.569
-0.000297452     -111.037
-0.000279955     -104.506
-0.000262458     -97.9741
-0.00024496     -91.4425
-0.000227463     -84.9109
-0.000209966     -78.3792
-0.000192469     -71.8476
-0.000174972     -65.316
-0.000157475     -58.7844
-0.000139977     -52.2528
-0.00012248     -45.7212
-0.000104983     -39.1896
-8.74859e-05     -32.658
-6.99887e-05     -26.1264
-5.24915e-05     -19.5948
-3.49943e-05     -13.0632
-1.74972e-05     -6.5316
-1.01644e-19     -6.245e-14
1.74972e-05     6.5316
3.49943e-05     13.0632
5.24915e-05     19.5948
6.99887e-05     26.1264
8.74859e-05     32.658
0.000104983     39.1896
0.00012248     45.7212
0.000139977     52.2528
0.000157475     58.7844
0.000174972     65.316
0.000192469     71.8476
0.000209966     78.3792
0.000227463     84.9109
0.00024496     91.4425
0.000262458     97.9741
0.000279955     104.506
0.000297452     111.037
0.000314949     117.569
0.000332446     124.1
0.000349943     130.632
0.000367441     137.164
0.000384938     143.695
0.000402435     150.227
0.000419932     156.758
0.000437429     163.29
0.000419932     156.758
0.000402435     150.227
0.000384938     143.695
0.000367441     137.164
0.000349943     130.632
0.000332446     124.1
0.000314949     117.569
0.000297452     111.037
0.000279955     104.506
0.000262458     97.9741
0.00024496     91.4425
0.000227463     84.9109
0.000209966     78.3792
0.000192469     71.8476
0.000174972     65.316
0.000157475     58.7844
0.000139977     52.2528
0.00012248     45.7212
0.000104983     39.1896
8.74859e-05     32.658
6.99887e-05     26.1264
5.24915e-05     19.5948
3.49943e-05     13.0632
1.74972e-05     6.5316
-6.09864e-20     -6.245e-14
-1.74972e-05     -6.5316
-3.49943e-05     -13.0632
-5.24915e-05     -19.5948
-6.99887e-05     -26.1264
-8.74859e-05     -32.658
-0.000104983     -39.1896
-0.00012248     -45.7212
-0.000139977     -52.2528
-0.000157475     -58.7844
-0.000174972     -65.316
-0.000192469     -71.8476
-0.000209966     -78.3792
-0.000227463     -84.9109
-0.00024496     -91.4425
-0.000262458     -97.9741
-0.000279955     -104.506
-0.000297452     -111.037
-0.000314949     -117.569
-0.000332446     -124.1
-0.000349943     -130.632
-0.000367441     -137.164
-0.000384938     -143.695
-0.000402435     -150.227
-0.000419932     -156.758
-0.000437429     -163.29
-0.000419932     -156.758
-0.000402435     -150.227
-0.000384938     -143.695
-0.000367441     -137.164
-0.000349943     -130.632
-0.000332446     -124.1
-0.000314949     -117.569
-0.000297452     -111.037
-0.000279955     -104.506
-0.000262458     -97.9741
-0.00024496     -91.4425
-0.000227463     -84.9109
-0.000209966     -78.3792
-0.000192469     -71.8476
-0.000174972     -65.316
-0.000157475     -58.7844
-0.000139977     -52.2528
-0.00012248     -45.7212
-0.000104983     -39.1896
-8.74859e-05     -32.658
-6.99887e-05     -26.1264
-5.24915e-05     -19.5948
-3.49943e-05     -13.0632
-1.74972e-05     -6.5316
-1.01644e-19     -6.245e-14
1.74972e-05     6.5316
3.49943e-05     13.0632
5.24915e-05     19.5948
6.99887e-05     26.1264
8.74859e-05     32.658
0.000104983     39.1896
0.00012248     45.7212
0.000139977     52.2528
0.000157475     58.7844
0.000174972     65.316
0.000192469     71.8476
0.000209966     78.3792
0.000227463     84.9109
0.00024496     91.4425
0.000262458     97.9741
0.000279955     104.506
0.000297452     111.037
0.000314949     117.569
0.000332446     124.1
0.000349943     130.632
0.000367441     137.164
0.000384938     143.695
0.000402435     150.227
0.000419932     156.758
0.000437429     163.29
0.000419932     156.758
0.000402435     150.227
0.000384938     143.695
0.000367441     137.164
0.000349943     130.632
0.000332446     124.1
0.000314949     117.569
0.000297452     111.037
0.000279955     104.506
0.000262458     97.9741
0.00024496     91.4425
0.000227463     84.9109
0.000209966     78.3792
0.000192469     71.8476
0.000174972     65.316
0.000157475     58.7844
0.000139977     52.2528
0.00012248     45.7212
0.000104983     39.1896
8.74859e-05     32.658
6.99887e-05     26.1264
5.24915e-05     19.5948
3.49943e-05     13.0632
1.74972e-05     6.5316
-6.09864e-20     -6.245e-14
-1.74972e-05     -6.5316
-3.49943e-05     -13.0632
-5.24915e-05     -19.5948
-6.99887e-05     -26.1264
-8.74859e-05     -32.658
-0.000104983     -39.1896
-0.00012248     -45.7212
-0.000139977     -52.2528
-0.000157475     -58.7844
-0.000174972     -65.316
-0.000192469     -71.8476
-0.000209966     -78.3792
-0.000227463     -84.9109
-0.00024496     -91.4425
-0.000262458     -97.9741
-0.000279955     -104.506
-0.000297452     -111.037
-0.000314949     -117.569
-0.000332446     -124.1
-0.000349943     -130.632
-0.000367441     -137.164
-0.000384938     -143.695
-0.000402435     -150.227
-0.000419932     -156.758
-0.000437429     -163.29
-0.000419932     -156.758
-0.000402435     -150.227
-0.000384938     -143.695
-0.000367441     -137.164
-0.000349943     -130.632
-0.000332446     -124.1
-0.000314949     -117.569
-0.000297452     -111.037
-0.000279955     -104.506
-0.000262458     -97.9741
-0.00024496     -91.4425
-0.000227463     -84.9109
-0.000209966     -78.3792
-0.000192469     -71.8476
-0.000174972     -65.316
-0.000157475     -58.7844
-0.000139977     -52.2528
-0.00012248     -45.7212
-0.000104983     -39.1896
-8.74859e-05     -32.658
-6.99887e-05     -26.1264
-5.24915e-05     -19.5948
-3.49943e-05     -13.0632
-1.74972e-05     -6.5316
-1.01644e-19     -6.245e-14
1.74972e-05     6.5316
3.49943e-05     13.0632
5.24915e-05     19.5948
6.99887e-05     26.1264
8.74859e-05     32.658
0.000104983     39.1896
0.00012248     45.7212
0.000139977     52.2528
0.000157475     58.7844
0.000174972     65.316
0.000192469     71.8476
0.000209966     78.3792
0.000227463     84.9109
0.00024496     91.4425
0.000262458     97.9741
0.000279955     104.506
0.000297452     111.037
0.000314949     117.569
0.000332446     124.1
0.000349943     130.632
0.000367441     137.164
0.000384938     143.695
0.000402435     150.227
0.000419932     156.758
0.000437429     163.29
0.000419932     156.758
0.000402435     150.227
0.000384938     143.695
0.000367441     137.164
0.000349943     130.632
0.000332446     124.1
0.000314949     117.569
0.000297452     111.037
0.000279955     104.506
0.000262458     97.9741
0.00024496     91.4425
0.000227463     84.9109
0.000209966     78.3792
0.000192469     71.8476
0.000174972     65.316
0.000157475     58.7844
0.000139977     52.2528
0.00012248     45.7212
0.000104983     39.1896
8.74859e-05     32.658
6.99887e-05     26.1264
5.24915e-05     19.5948
3.49943e-05     13.0632
1.74972e-05     6.5316
-6.09864e-20     -6.245e-14
-1.74972e-05     -6.5316
-3.49943e-05     -13.0632
-5.24915e-05     -19.5948
-6.99887e-05     -26.1264
-8.74859e-05     -32.658
-0.000104983     -39.1896
-0.00012248     -45.7212
-0.000139977     -52.2528
-0.000157475     -58.7844
-0.000174972     -65.316
-0.000192469     -71.8476
-0.000209966     -78.3792
-0.000227463     -84.9109
-0.00024496     -91.4425
-0.000262458     -97.9741
-0.000279955     -104.506
-0.000297452     -111.037
-0.000314949     -117.569
-0.000332446     -124.1
-0.000349943     -130.632
-0.000367441     -137.164
-0.000384938     -143.695
-0.000402435     -150.227
-0.000419932     -156.758
-0.000437429     -163.29
-0.000419932     -156.758
-0.000402435     -150.227
-0.000384938     -143.695
-0.000367441     -137.164
-0.000349943     -130.632
-0.000332446     -124.1
-0.000314949     -117.569
-0.000297452     -111.037
-0.000279955     -104.506
-0.000262458     -97.9741
-0.00024496     -91.4425
-0.000227463     -84.9109
-0.000209966     -78.3792
-0.000192469     -71.8476
-0.000174972     -65.316
-0.000157475     -58.7844
-0.000139977     -52.2528
-0.00012248     -45.7212
-0.000104983     -39.1896
-8.74859e-05     -32.658
-6.99887e-05     -26.1264
-5.24915e-05     -19.5948
-3.49943e-05     -13.0632
-1.74972e-05     -6.5316
-1.01644e-19     -6.245e-14
1.74972e-05     6.5316
3.49943e-05     13.0632
5.24915e-05     19.5948
6.99887e-05     26.1264
8.74859e-05     32.658
0.000104983     39.1896
0.00012248     45.7212
0.000139977     52.2528
0.000157475     58.7844
0.000174972     65.316
0.000192469     71.8476
0.000209966     78.3792
0.000227463     84.9109
0.00024496     91.4425
