[JOINT]-[J1]-[3]     [BEAMCOLUMN]-[E3]-[1]-[2]
-0.000109355     32.658
-0.000131226     39.1896
-0.000153096     45.7212
-0.000174967     52.2528
-0.000196838     58.7844
-0.000218709     65.316
-0.00024058     71.8476
-0.000262451     78.3792
-0.000284322     84.9109
-0.000306193     91.4425
-0.000328064     97.9741
-0.000349935     104.506
-0.000371806     111.037
-0.000393677     117.569
-0.000415547     124.1
-0.000437418     130.632
-0.000459289     137.164
-0.00048116     143.695
-0.000503031     150.227
-0.000524902     156.758
-0.000546773     163.29
-0.000524902     156.758
-0.000503031     150.227
-0.00048116     143.695
-0.000459289     137.164
-0.000437418     130.632
-0.000415547     124.1
-0.000393677     117.569
-0.000371806     111.037
-0.000349935     104.506
-0.000328064     97.9741
-0.000306193     91.4425
-0.000284322     84.9109
-0.000262451     78.3792
-0.00024058     71.8476
-0.000218709     65.316
-0.000196838     58.7844
-0.000174967     52.2528
-0.000153096     45.7212
-0.000131226     39.1896
-0.000109355     32.658
-8.74837e-05     26.1264
-6.56128e-05     19.5948
-4.37418e-05     13.0632
-2.18709e-05     6.5316
-8.47033e-19     -6.245e-14
2.18709e-05     -6.5316
4.37418e-05     -13.0632
6.56128e-05     -19.5948
8.74837e-05     -26.1264
0.000109355     -32.658
0.000131226     -39.1896
0.000153096     -45.7212
0.000174967     -52.2528
0.000196838     -58.7844
0.000218709     -65.316
0.00024058     -71.8476
0.000262451     -78.3792
0.000284322     -84.9109
0.000306193     -91.4425
0.000328064     -97.9741
0.000349935     -104.506
0.000371806     -111.037
0.000393677     -117.569
0.000415547     -124.1
0.000437418     -130.632
0.000459289     -137.164
0.00048116     -143.695
0.000503031     -150.227
0.000524902     -156.758
0.000546773     -163.29
0.000524902     -156.758
0.000503031     -150.227
0.00048116     -143.695
0.000459289     -137.164
0.000437418     -130.632
0.000415547     -124.1
0.000393677     -117.569
0.000371806     -111.037
0.000349935     -104.506
0.000328064     -97.9741
0.000306193     -91.4425
0.000284322     -84.9109
0.000262451     -78.3792
0.00024058     -71.8476
0.000218709     -65.316
0.000196838     -58.7844
0.000174967     -52.2528
0.000153096     -45.7212
0.000131226     -39.1896
0.000109355     -32.658
8.74837e-05     -26.1264
6.56128e-05     -19.5948
4.37418e-05     -13.0632
2.18709e-05     -6.5316
-8.87691e-19     -6.245e-14
-2.18709e-05     6.5316
-4.37418e-05     13.0632
-6.56128e-05     19.5948
-8.74837e-05     26.1264
-0.000109355     32.658
-0.000131226     39.1896
-0.000153096     45.7212
-0.000174967     52.2528
-0.000196838     58.7844
-0.000218709     65.316
-0.00024058     71.8476
-0.000262451     78.3792
-0.000284322     84.9109
-0.000306193     91.4425
-0.000328064     97.9741
-0.000349935     104.506
-0.000371806     111.037
-0.000393677     117.569
-0.000415547     124.1
-0.000437418     130.632
-0.000459289     137.164
-0.00048116     143.695
-0.000503031     150.227
-0.000524902     156.758
-0.000546773     163.29
-0.000524902     156.758
